location,precision,arrondissement,format_1m2,format_2m2,coordinates,geometry,arr_raw,arr_extracted,arrondissement_clean,total_panels,total_area,latitude,longitude
"74, rue Mouffetard",Bibliothèque,75005.0,1.0,0.0,"{'lon': 2.349672, 'lat': 48.842585}","{'lon': 2.349672, 'lat': 48.842585}",75005.0,75005,5,1.0,1.0,48.842585,2.349672
"4bis, avenue de Choisy",,75013.0,0.0,1.0,"{'lon': 2.364644, 'lat': 48.820451}","{'lon': 2.364644, 'lat': 48.820451}",75013.0,75013,13,1.0,2.0,48.820451,2.364644
"15, rue des Bauches",,75016.0,0.0,1.0,"{'lon': 2.273553, 'lat': 48.855983}","{'lon': 2.273553, 'lat': 48.855983}",75016.0,75016,16,1.0,2.0,48.855983,2.273553
"99, rue des Pyrénées",,75020.0,0.0,1.0,"{'lon': 2.405215, 'lat': 48.855158}","{'lon': 2.405215, 'lat': 48.855158}",75020.0,75020,20,1.0,2.0,48.855158,2.405215
"79, avenue des Gobelins",,75013.0,0.0,1.0,"{'lon': 2.353257, 'lat': 48.834719}","{'lon': 2.353257, 'lat': 48.834719}",75013.0,75013,13,1.0,2.0,48.834719,2.353257
"1, rue Rouvet",,75019.0,0.0,1.0,"{'lon': 2.385131, 'lat': 48.893086}","{'lon': 2.385131, 'lat': 48.893086}",75019.0,75019,19,1.0,2.0,48.893086,2.385131
"1, rue du Général Camou",,75007.0,0.0,1.0,"{'lon': 2.299853, 'lat': 48.858889}","{'lon': 2.299853, 'lat': 48.858889}",75007.0,75007,7,1.0,2.0,48.858889,2.299853
"28, rue du Général Foy",Panneau B,75008.0,0.0,1.0,"{'lon': 2.317688, 'lat': 48.878822}","{'lon': 2.317688, 'lat': 48.878822}",75008.0,75008,8,1.0,2.0,48.878822,2.317688
16 rue de Marsoulan,Ecole - à gauche de l'entrée,75012.0,1.0,0.0,"{'lon': 2.40334, 'lat': 48.846348}","{'lon': 2.40334, 'lat': 48.846348}",75012.0,75012,12,1.0,1.0,48.846348,2.40334
"253bis/253 ter, avenue Daumesnil",,75012.0,0.0,1.0,"{'lon': 2.402889, 'lat': 48.837122}","{'lon': 2.402889, 'lat': 48.837122}",75012.0,75012,12,1.0,2.0,48.837122,2.402889
"1, avenue Boutroux",,75013.0,0.0,1.0,"{'lon': 2.377618, 'lat': 48.822744}","{'lon': 2.377618, 'lat': 48.822744}",75013.0,75013,13,1.0,2.0,48.822744,2.377618
"4, rue Jourdain",,75020.0,0.0,1.0,"{'lon': 2.389605, 'lat': 48.874518}","{'lon': 2.389605, 'lat': 48.874518}",75020.0,75020,20,1.0,2.0,48.874518,2.389605
"39 bis, rue Poliveau",Creche municipale,75005.0,1.0,0.0,"{'lon': 2.357481, 'lat': 48.839807}","{'lon': 2.357481, 'lat': 48.839807}",75005.0,75005,5,1.0,1.0,48.839807,2.357481
"42, rue du Javelot",,75013.0,0.0,1.0,"{'lon': 2.365472, 'lat': 48.824619}","{'lon': 2.365472, 'lat': 48.824619}",75013.0,75013,13,1.0,2.0,48.824619,2.365472
"37, avenue de la Bourdonnais",,75007.0,0.0,1.0,"{'lon': 2.299265, 'lat': 48.85828}","{'lon': 2.299265, 'lat': 48.85828}",75007.0,75007,7,1.0,2.0,48.85828,2.299265
"13, rue du Général Guillaumat",,75015.0,0.0,1.0,"{'lon': 2.29332, 'lat': 48.828027}","{'lon': 2.29332, 'lat': 48.828027}",75015.0,75015,15,1.0,2.0,48.828027,2.29332
"3, rue de la  Jussienne",,75002.0,0.0,1.0,"{'lon': 2.344087, 'lat': 48.865292}","{'lon': 2.344087, 'lat': 48.865292}",75002.0,75002,2,1.0,2.0,48.865292,2.344087
"48, boulevard Jourdan",,75014.0,0.0,1.0,"{'lon': 2.331066, 'lat': 48.822195}","{'lon': 2.331066, 'lat': 48.822195}",75014.0,75014,14,1.0,2.0,48.822195,2.331066
"64, rue Chardon Lagache",,75016.0,0.0,1.0,"{'lon': 2.263925, 'lat': 48.842523}","{'lon': 2.263925, 'lat': 48.842523}",75016.0,75016,16,1.0,2.0,48.842523,2.263925
"11, rue d Argenteuil",,75001.0,0.0,1.0,"{'lon': 2.333822, 'lat': 48.864893}","{'lon': 2.333822, 'lat': 48.864893}",75001.0,75001,1,1.0,2.0,48.864893,2.333822
"26, boulevard Bonne Nouvelle",Panneau B,75010.0,0.0,1.0,"{'lon': 2.350113, 'lat': 48.870282}","{'lon': 2.350113, 'lat': 48.870282}",75010.0,75010,10,1.0,2.0,48.870282,2.350113
"39, rue Alexandre Dumas",Panneau A,75011.0,0.0,1.0,"{'lon': 2.393242, 'lat': 48.853745}","{'lon': 2.393242, 'lat': 48.853745}",75011.0,75011,11,1.0,2.0,48.853745,2.393242
"14, rue Merlin",,75011.0,0.0,1.0,"{'lon': 2.38589, 'lat': 48.859847}","{'lon': 2.38589, 'lat': 48.859847}",75011.0,75011,11,1.0,2.0,48.859847,2.38589
"9, rue Jean Rey",,75015.0,0.0,1.0,"{'lon': 2.2910019999999998, 'lat': 48.855469}","{'lon': 2.2910019999999998, 'lat': 48.855469}",75015.0,75015,15,1.0,2.0,48.855469,2.2910019999999998
"19, rue Tristant Tzara",Bibliothèque Maurice Genevoix,75018.0,0.0,1.0,"{'lon': 2.363866, 'lat': 48.89502}","{'lon': 2.363866, 'lat': 48.89502}",75018.0,75018,18,1.0,2.0,48.89502,2.363866
"12, rue des Amiraux",,75018.0,0.0,1.0,"{'lon': 2.3513479999999998, 'lat': 48.894562}","{'lon': 2.3513479999999998, 'lat': 48.894562}",75018.0,75018,18,1.0,2.0,48.894562,2.3513479999999998
"10, rue Pierre Nicole",,75005.0,0.0,1.0,"{'lon': 2.34061, 'lat': 48.842291}","{'lon': 2.34061, 'lat': 48.842291}",75005.0,75005,5,1.0,2.0,48.842291,2.34061
"130, boulevard de Clichy",Panneau B : face au 130,75009.0,0.0,1.0,"{'lon': 2.334409, 'lat': 48.882984}","{'lon': 2.334409, 'lat': 48.882984}",75009.0,75009,9,1.0,2.0,48.882984,2.334409
"39, rue des Trois Bornes",,75011.0,0.0,1.0,"{'lon': 2.374589, 'lat': 48.867344}","{'lon': 2.374589, 'lat': 48.867344}",75011.0,75011,11,1.0,2.0,48.867344,2.374589
"34, boulevard Carnot",,75012.0,0.0,1.0,"{'lon': 2.4129300000000002, 'lat': 48.842109}","{'lon': 2.4129300000000002, 'lat': 48.842109}",75012.0,75012,12,1.0,2.0,48.842109,2.4129300000000002
"97, rue Ballard",,75015.0,0.0,1.0,"{'lon': 2.2787, 'lat': 48.83755}","{'lon': 2.2787, 'lat': 48.83755}",75015.0,75015,15,1.0,2.0,48.83755,2.2787
"221, boulevard Pereire",,75017.0,0.0,1.0,"{'lon': 2.289361, 'lat': 48.880446}","{'lon': 2.289361, 'lat': 48.880446}",75017.0,75017,17,1.0,2.0,48.880446,2.289361
"10, rue Vauquelin",,75005.0,0.0,1.0,"{'lon': 2.347531, 'lat': 48.841234}","{'lon': 2.347531, 'lat': 48.841234}",75005.0,75005,5,1.0,2.0,48.841234,2.347531
"60, rue Saint andré des Arts",Maison des Associations,75006.0,1.0,0.0,"{'lon': 2.339267, 'lat': 48.853577}","{'lon': 2.339267, 'lat': 48.853577}",75006.0,75006,6,1.0,1.0,48.853577,2.339267
"15, rue Lancry",,75010.0,0.0,1.0,"{'lon': 2.360338, 'lat': 48.869561}","{'lon': 2.360338, 'lat': 48.869561}",75010.0,75010,10,1.0,2.0,48.869561,2.360338
"8 / 10, rue Balanchine",,75013.0,1.0,0.0,"{'lon': 2.3735749999999998, 'lat': 48.836374}","{'lon': 2.3735749999999998, 'lat': 48.836374}",75013.0,75013,13,1.0,1.0,48.836374,2.3735749999999998
"20, rue Falguieres",,75015.0,0.0,1.0,"{'lon': 2.316507, 'lat': 48.843104}","{'lon': 2.316507, 'lat': 48.843104}",75015.0,75015,15,1.0,2.0,48.843104,2.316507
"40, rue des Pyrénées",,75020.0,0.0,1.0,"{'lon': 2.406499, 'lat': 48.850917}","{'lon': 2.406499, 'lat': 48.850917}",75020.0,75020,20,1.0,2.0,48.850917,2.406499
"60, boulevard Lannes",,75016.0,0.0,1.0,"{'lon': 2.26978, 'lat': 48.864574}","{'lon': 2.26978, 'lat': 48.864574}",75016.0,75016,16,1.0,2.0,48.864574,2.26978
"26, boulevard Bonne Nouvelle",Panneau A,75010.0,0.0,1.0,"{'lon': 2.350113, 'lat': 48.870282}","{'lon': 2.350113, 'lat': 48.870282}",75010.0,75010,10,1.0,2.0,48.870282,2.350113
"9, rue Tandou",Ecole élémentaire,75019.0,0.0,1.0,"{'lon': 2.37918, 'lat': 48.886}","{'lon': 2.37918, 'lat': 48.886}",75019.0,75019,19,1.0,2.0,48.886,2.37918
"28, avenue Rapp",,75007.0,0.0,1.0,"{'lon': 2.300202, 'lat': 48.858623}","{'lon': 2.300202, 'lat': 48.858623}",75007.0,75007,7,1.0,2.0,48.858623,2.300202
"7, rue Duranti",,75011.0,0.0,1.0,"{'lon': 2.3842689999999997, 'lat': 48.86105}","{'lon': 2.3842689999999997, 'lat': 48.86105}",75011.0,75011,11,1.0,2.0,48.86105,2.3842689999999997
"166, rue Pelleport",,75020.0,1.0,0.0,"{'lon': 2.397987, 'lat': 48.873377}","{'lon': 2.397987, 'lat': 48.873377}",75020.0,75020,20,1.0,1.0,48.873377,2.397987
"12, rue Foucroy",,75017.0,0.0,1.0,"{'lon': 2.296597, 'lat': 48.880462}","{'lon': 2.296597, 'lat': 48.880462}",75017.0,75017,17,1.0,2.0,48.880462,2.296597
"31, rue Joseph de Maistre",,75018.0,0.0,1.0,"{'lon': 2.330619, 'lat': 48.891854}","{'lon': 2.330619, 'lat': 48.891854}",75018.0,75018,18,1.0,2.0,48.891854,2.330619
"12-16, rue de la Moselle",,75019.0,0.0,1.0,"{'lon': 2.37628, 'lat': 48.885108}","{'lon': 2.37628, 'lat': 48.885108}",75019.0,75019,19,1.0,2.0,48.885108,2.37628
"7, rue du Jardinet",Ecole élémentaire,75006.0,1.0,0.0,"{'lon': 2.339941, 'lat': 48.852692}","{'lon': 2.339941, 'lat': 48.852692}",75006.0,75006,6,1.0,1.0,48.852692,2.339941
"4bis, rue de la Présentation",,75011.0,0.0,1.0,"{'lon': 2.377182, 'lat': 48.870885}","{'lon': 2.377182, 'lat': 48.870885}",75011.0,75011,11,1.0,2.0,48.870885,2.377182
84 Rue de la Mare,,75020.0,0.0,1.0,"{'lon': 2.389293, 'lat': 48.873093}","{'lon': 2.389293, 'lat': 48.873093}",75020.0,75020,20,1.0,2.0,48.873093,2.389293
Place Pinel,Entrée du Square,75013.0,1.0,0.0,"{'lon': 2.361549, 'lat': 48.833497}","{'lon': 2.361549, 'lat': 48.833497}",75013.0,75013,13,1.0,1.0,48.833497,2.361549
"12, rue Saint-Benoît",Groupe scolaire,75006.0,1.0,0.0,"{'lon': 2.3331049999999998, 'lat': 48.855128}","{'lon': 2.3331049999999998, 'lat': 48.855128}",75006.0,75006,6,1.0,1.0,48.855128,2.3331049999999998
"9, rue de Vaugirard",Ecole élémentaire,75006.0,1.0,0.0,"{'lon': 2.339836, 'lat': 48.848922}","{'lon': 2.339836, 'lat': 48.848922}",75006.0,75006,6,1.0,1.0,48.848922,2.339836
"70, avenue Daumesnil",,75012.0,0.0,1.0,"{'lon': 2.380336, 'lat': 48.844704}","{'lon': 2.380336, 'lat': 48.844704}",75012.0,75012,12,1.0,2.0,48.844704,2.380336
"17, rue Sorbier",,75020.0,0.0,1.0,"{'lon': 2.392419, 'lat': 48.866162}","{'lon': 2.392419, 'lat': 48.866162}",75020.0,75020,20,1.0,2.0,48.866162,2.392419
"7, rue Bretonneau",,75020.0,0.0,1.0,"{'lon': 2.4031700000000003, 'lat': 48.86769}","{'lon': 2.4031700000000003, 'lat': 48.86769}",75020.0,75020,20,1.0,2.0,48.86769,2.4031700000000003
"39, rue Alexandre Dumas",Panneau B,75011.0,0.0,1.0,"{'lon': 2.393242, 'lat': 48.853745}","{'lon': 2.393242, 'lat': 48.853745}",75011.0,75011,11,1.0,2.0,48.853745,2.393242
"19, rue Boissonnade",,75014.0,0.0,1.0,"{'lon': 2.332875, 'lat': 48.838886}","{'lon': 2.332875, 'lat': 48.838886}",75014.0,75014,14,1.0,2.0,48.838886,2.332875
"2, rue Japy",,75011.0,0.0,1.0,"{'lon': 2.38245, 'lat': 48.855874}","{'lon': 2.38245, 'lat': 48.855874}",75011.0,75011,11,1.0,2.0,48.855874,2.38245
"9, rue Franc Nohain",,75013.0,0.0,1.0,"{'lon': 2.375173, 'lat': 48.821395}","{'lon': 2.375173, 'lat': 48.821395}",75013.0,75013,13,1.0,2.0,48.821395,2.375173
"21/23, avenue de Saint Ouen",,75017.0,0.0,1.0,"{'lon': 2.325925, 'lat': 48.889046}","{'lon': 2.325925, 'lat': 48.889046}",75017.0,75017,17,1.0,2.0,48.889046,2.325925
"38, rue des Orteaux",,75020.0,0.0,1.0,"{'lon': 2.401315, 'lat': 48.856603}","{'lon': 2.401315, 'lat': 48.856603}",75020.0,75020,20,1.0,2.0,48.856603,2.401315
"15, rue de Monceau",,75008.0,0.0,1.0,"{'lon': 2.307069, 'lat': 48.875864}","{'lon': 2.307069, 'lat': 48.875864}",75008.0,75008,8,1.0,2.0,48.875864,2.307069
"107, boulevard Voltaire",,75011.0,0.0,1.0,"{'lon': 2.379116, 'lat': 48.85859}","{'lon': 2.379116, 'lat': 48.85859}",75011.0,75011,11,1.0,2.0,48.85859,2.379116
"6, rue Baptiste Renard",Face au 6,75013.0,0.0,1.0,"{'lon': 2.366809, 'lat': 48.828093}","{'lon': 2.366809, 'lat': 48.828093}",75013.0,75013,13,1.0,2.0,48.828093,2.366809
"12, rue Saint Benoit",,75006.0,0.0,1.0,"{'lon': 2.3331049999999998, 'lat': 48.855128}","{'lon': 2.3331049999999998, 'lat': 48.855128}",75006.0,75006,6,1.0,2.0,48.855128,2.3331049999999998
"76, boulevard Berthier",,75017.0,0.0,1.0,"{'lon': 2.304479, 'lat': 48.890553}","{'lon': 2.304479, 'lat': 48.890553}",75017.0,75017,17,1.0,2.0,48.890553,2.304479
"31, rue Pierre Semard",Panneau B,75009.0,0.0,1.0,"{'lon': 2.348291, 'lat': 48.879105}","{'lon': 2.348291, 'lat': 48.879105}",75009.0,75009,9,1.0,2.0,48.879105,2.348291
"46, rue Jenner",,75013.0,0.0,1.0,"{'lon': 2.360667, 'lat': 48.836123}","{'lon': 2.360667, 'lat': 48.836123}",75013.0,75013,13,1.0,2.0,48.836123,2.360667
"14-18, avenue Georges Lafenestre",,75014.0,0.0,1.0,"{'lon': 2.311657, 'lat': 48.825299}","{'lon': 2.311657, 'lat': 48.825299}",75014.0,75014,14,1.0,2.0,48.825299,2.311657
"27, rue Las Casés",,75007.0,0.0,1.0,"{'lon': 2.31858, 'lat': 48.858981}","{'lon': 2.31858, 'lat': 48.858981}",75007.0,75007,7,1.0,2.0,48.858981,2.31858
"39, rue des Cordelières",,75013.0,0.0,1.0,"{'lon': 2.348657, 'lat': 48.834253}","{'lon': 2.348657, 'lat': 48.834253}",75013.0,75013,13,1.0,2.0,48.834253,2.348657
"7, rue Barbanègre","école élémentaire, Panneau B",75019.0,0.0,1.0,"{'lon': 2.382858, 'lat': 48.892135}","{'lon': 2.382858, 'lat': 48.892135}",75019.0,75019,19,1.0,2.0,48.892135,2.382858
"27, rue de Poissy",,75005.0,0.0,1.0,"{'lon': 2.352272, 'lat': 48.848586}","{'lon': 2.352272, 'lat': 48.848586}",75005.0,75005,5,1.0,2.0,48.848586,2.352272
"49, rue Legendre",,75017.0,0.0,1.0,"{'lon': 2.315958, 'lat': 48.885248}","{'lon': 2.315958, 'lat': 48.885248}",75017.0,75017,17,1.0,2.0,48.885248,2.315958
"9, rue Jomard",Ecole élémentaire,75019.0,0.0,1.0,"{'lon': 2.379576, 'lat': 48.88971}","{'lon': 2.379576, 'lat': 48.88971}",75019.0,75019,19,1.0,2.0,48.88971,2.379576
"109, rue des Amandiers",,75020.0,0.0,1.0,"{'lon': 2.388636, 'lat': 48.867739}","{'lon': 2.388636, 'lat': 48.867739}",75020.0,75020,20,1.0,2.0,48.867739,2.388636
"28, rue Cambon",,75001.0,0.0,1.0,"{'lon': 2.32685, 'lat': 48.868105}","{'lon': 2.32685, 'lat': 48.868105}",75001.0,75001,1,1.0,2.0,48.868105,2.32685
"5/7, rue Neuve Saint Pierre",,75004.0,0.0,1.0,"{'lon': 2.363512, 'lat': 48.853665}","{'lon': 2.363512, 'lat': 48.853665}",75004.0,75004,4,1.0,2.0,48.853665,2.363512
"10, rue Paul Baudry",,75008.0,0.0,1.0,"{'lon': 2.307394, 'lat': 48.87234}","{'lon': 2.307394, 'lat': 48.87234}",75008.0,75008,8,1.0,2.0,48.87234,2.307394
"3, rue des Caillaux",,75013.0,0.0,1.0,"{'lon': 2.362127, 'lat': 48.822875}","{'lon': 2.362127, 'lat': 48.822875}",75013.0,75013,13,1.0,2.0,48.822875,2.362127
"20-24, avenue Georges Lafenestre",,75014.0,0.0,1.0,"{'lon': 2.311657, 'lat': 48.825299}","{'lon': 2.311657, 'lat': 48.825299}",75014.0,75014,14,1.0,2.0,48.825299,2.311657
"66, rue Olivier de Serres",,75015.0,0.0,1.0,"{'lon': 2.294959, 'lat': 48.833817}","{'lon': 2.294959, 'lat': 48.833817}",75015.0,75015,15,1.0,2.0,48.833817,2.294959
"1, rue Vauvenargues",,75018.0,0.0,1.0,"{'lon': 2.33465, 'lat': 48.891898}","{'lon': 2.33465, 'lat': 48.891898}",75018.0,75018,18,1.0,2.0,48.891898,2.33465
"5, rue Pierre Bullet",,75010.0,0.0,1.0,"{'lon': 2.358068, 'lat': 48.871589}","{'lon': 2.358068, 'lat': 48.871589}",75010.0,75010,10,1.0,2.0,48.871589,2.358068
"26, avenue du Général Sarail",,75016.0,0.0,1.0,"{'lon': 2.2549200000000003, 'lat': 48.843724}","{'lon': 2.2549200000000003, 'lat': 48.843724}",75016.0,75016,16,1.0,2.0,48.843724,2.2549200000000003
"11-13, rue Jacques Kellner",,75017.0,0.0,1.0,"{'lon': 2.32429, 'lat': 48.897262}","{'lon': 2.32429, 'lat': 48.897262}",75017.0,75017,17,1.0,2.0,48.897262,2.32429
"103, avenue Gambetta",,75020.0,0.0,1.0,"{'lon': 2.399962, 'lat': 48.866818}","{'lon': 2.399962, 'lat': 48.866818}",75020.0,75020,20,1.0,2.0,48.866818,2.399962
66/72 avenue Philippe Auguste,,75011.0,0.0,1.0,"{'lon': 2.3925359999999998, 'lat': 48.854201}","{'lon': 2.3925359999999998, 'lat': 48.854201}",75011.0,75011,11,1.0,2.0,48.854201,2.3925359999999998
"6, rue de Cotte",,75012.0,0.0,1.0,"{'lon': 2.377656, 'lat': 48.849445}","{'lon': 2.377656, 'lat': 48.849445}",75012.0,75012,12,1.0,2.0,48.849445,2.377656
"22, boulevard Poissonnière",Panneau B,75009.0,0.0,1.0,"{'lon': 2.345109, 'lat': 48.871326}","{'lon': 2.345109, 'lat': 48.871326}",75009.0,75009,9,1.0,2.0,48.871326,2.345109
"11, rue Lahire",,75013.0,0.0,1.0,"{'lon': 2.366395, 'lat': 48.829663}","{'lon': 2.366395, 'lat': 48.829663}",75013.0,75013,13,1.0,2.0,48.829663,2.366395
"122-130, rue d Aubervilliers",,75019.0,0.0,1.0,"{'lon': 2.369341, 'lat': 48.891869}","{'lon': 2.369341, 'lat': 48.891869}",75019.0,75019,19,1.0,2.0,48.891869,2.369341
20 rue de la Brèche aux loups,Collège Jules Vernes - à gauche de l'entrée,75012.0,1.0,0.0,"{'lon': 2.39417, 'lat': 48.837543}","{'lon': 2.39417, 'lat': 48.837543}",75012.0,75012,12,1.0,1.0,48.837543,2.39417
"28, rue andré Brechet",,75017.0,0.0,1.0,"{'lon': 2.324894, 'lat': 48.898947}","{'lon': 2.324894, 'lat': 48.898947}",75017.0,75017,17,1.0,2.0,48.898947,2.324894
"16, rue du Colonel Moll",,75017.0,0.0,1.0,"{'lon': 2.290012, 'lat': 48.878088}","{'lon': 2.290012, 'lat': 48.878088}",75017.0,75017,17,1.0,2.0,48.878088,2.290012
