location,precision,arrondissement,format_1m2,format_2m2,longitude,latitude,arr_raw,arr_extracted,arrondissement_clean,total_panels,total_area
"42, rue Madame",Ecole élémentaire,75006.0,1.0,0.0,2.331602,48.848934,75006.0,75006,6,1.0,1.0
"31, rue Pierre Semard",Panneau A,75009.0,0.0,1.0,2.348291,48.879105,75009.0,75009,9,1.0,2.0
"24, rue Saint Sébastien",,75011.0,0.0,1.0,2.369434,48.861114,75011.0,75011,11,1.0,2.0
"132, rue d Alésia",,75014.0,0.0,1.0,2.319421,48.830516,75014.0,75014,14,1.0,2.0
"4-6, rue du Bessin",Angle rue du Bessin et rue Castagnary,75015.0,0.0,1.0,2.305727,48.831051,75015.0,75015,15,1.0,2.0
"6, avenue de la porte de Clichy",,75017.0,0.0,1.0,2.313008,48.894694,75017.0,75017,17,1.0,2.0
"2, rue Ronsard",,75018.0,0.0,1.0,2.344249,48.884999,75018.0,75018,18,1.0,2.0
"1, rue Pihet",,75011.0,0.0,1.0,2.373882,48.863455,75011.0,75011,11,1.0,2.0
"35, rue de l Evangile",,75018.0,0.0,1.0,2.365278,48.894071,75018.0,75018,18,1.0,2.0
"97, rue Mouffetard",Ecole maternelle,75005.0,1.0,0.0,2.349685,48.84134,75005.0,75005,5,1.0,1.0
"6, rue Littré",Groupe scolaire,75006.0,1.0,0.0,2.323705,48.845747,75006.0,75006,6,1.0,1.0
rue Lachelier,place port au prince,75013.0,0.0,1.0,2.365939,48.819702,75013.0,75013,13,1.0,2.0
"13, rue Vulpian",,75013.0,0.0,1.0,2.34649,48.83154,75013.0,75013,13,1.0,2.0
"59/59bis, rue de Romainville",Ecole maternelle Romainville,75019.0,0.0,1.0,2.403386,48.877388,75019.0,75019,19,1.0,2.0
"3, rue de l'Epée de Bois",Dispensaire Epée de bois,75005.0,1.0,0.0,2.351354,48.841557,75005.0,75005,5,1.0,1.0
"15, rue des Volontaires",,75015.0,0.0,1.0,2.307794,48.841682,75015.0,75015,15,1.0,2.0
"32-34, rue Alsace Lorraine",,75019.0,0.0,1.0,2.392785,48.882991,75019.0,75019,19,1.0,2.0
"34-54, avenue Marc Sangnier",,75014.0,0.0,1.0,2.30741,48.825938,75014.0,75014,14,1.0,2.0
Avenue de la Porte de Pantin,,75019.0,0.0,1.0,2.397958,48.88998,75019.0,75019,19,1.0,2.0
10 rue Huyghens,,75014.0,0.0,1.0,2.328593,48.840883,75014.0,75014,14,1.0,2.0
"58-60, rue de l Amiral Bruix",,75016.0,0.0,1.0,2.280587,48.875254,75016.0,75016,16,1.0,2.0
"11, rue Drouot",,75009.0,0.0,1.0,2.34045,48.873382,75009.0,75009,9,1.0,2.0
"58, rue Erlanger",,75016.0,0.0,1.0,2.259622,48.844134,75016.0,75016,16,1.0,2.0
"41, rue de Tanger",,75019.0,0.0,1.0,2.370231,48.887761,75019.0,75019,19,1.0,2.0
"38, rue de tourtille",,75020.0,1.0,0.0,2.380281,48.872432,75020.0,75020,20,1.0,1.0
"48, rue du Chateau Landon",,75010.0,0.0,1.0,2.364032,48.883223,75010.0,75010,10,1.0,2.0
"école élémentaire : 84, rue Curial",,75019.0,0.0,1.0,2.374613,48.894902,75019.0,75019,19,1.0,2.0
"29, avenue Gambetta",,75020.0,1.0,0.0,2.391763,48.864014,75020.0,75020,20,1.0,1.0
"36, rue le Vau",,75020.0,0.0,1.0,2.410873,48.869824,75020.0,75020,20,1.0,2.0
"85, boulevard Raspail",,75006.0,0.0,1.0,2.328112,48.847852,75006.0,75006,6,1.0,2.0
"14, rue d Alésia",,75014.0,0.0,1.0,2.332862,48.827862,75014.0,75014,14,1.0,2.0
"39, rue Saint-André des Arts",Ecole maternelle,75006.0,1.0,0.0,2.341287,48.853272,75006.0,75006,6,1.0,1.0
"3, place du Cardinal Lavigerie",,75012.0,0.0,1.0,,,75012.0,75012,12,1.0,2.0
"54, rue Planchat",,75020.0,0.0,1.0,2.3964689999999997,48.855971,75020.0,75020,20,1.0,2.0
"162, boulevard Murat",,75016.0,0.0,1.0,2.26544,48.838878,75016.0,75016,16,1.0,2.0
"15, Cour Debille",,75011.0,0.0,1.0,2.379842,48.855876,75011.0,75011,11,1.0,2.0
"345-347, rue de Belleville",Ecole maternelle Leman-Belleville,75019.0,0.0,1.0,2.391482,48.874919,75019.0,75019,19,1.0,2.0
"28, rue Olivier Métra",,75020.0,0.0,1.0,2.393873,48.87328,75020.0,75020,20,1.0,2.0
"8, rue  Pierre Foncin",Ecole Maternelle P. Foncin,75020.0,1.0,0.0,2.409702,48.871358,75020.0,75020,20,1.0,1.0
"50, rue Emeriau",,75015.0,0.0,1.0,2.286048,48.849521,75015.0,75015,15,1.0,2.0
"7, rue Fernand Laborie",,75018.0,0.0,1.0,2.342267,48.898533,75018.0,75018,18,1.0,2.0
"101, rue Rambuteau",(porte Rambuteau du Forum),75001.0,1.0,0.0,2.346663,48.862744,75001.0,75001,1,1.0,1.0
"50, rue Lacépède",Bains-Douches,75005.0,1.0,0.0,2.349986,48.84438,75005.0,75005,5,1.0,1.0
100 rue de Charenton -,"Le ""100""",75012.0,1.0,0.0,2.376957,48.847696,75012.0,75012,12,1.0,1.0
"118, quai de Jemmapes",,75010.0,0.0,1.0,2.36381,48.874978,75010.0,75010,10,1.0,2.0
"10, boulevard Murat",,75016.0,0.0,1.0,2.258228,48.846838,75016.0,75016,16,1.0,2.0
"13-15, rue Jean de la Fontaine",,75016.0,0.0,1.0,2.270749,48.850615,75016.0,75016,16,1.0,2.0
"101, rue de Saussure",,75017.0,0.0,1.0,2.311703,48.887438,75017.0,75017,17,1.0,2.0
"20, rue de Musset",,75016.0,0.0,1.0,2.263429,48.842381,75016.0,75016,16,1.0,2.0
"37, rue Armand Carrel",,75019.0,0.0,1.0,2.377818,48.882603,75019.0,75019,19,1.0,2.0
"81-91, Rue de la Réunion",Ecole maternelle,75020.0,1.0,0.0,2.40025,48.85645,75020.0,75020,20,1.0,1.0
angle Alibert / Claude Vellefaux,,75010.0,0.0,1.0,2.370246,48.874893,75010.0,75010,10,1.0,2.0
"16, rue Wurtz",,75013.0,1.0,0.0,2.344612,48.826924,75013.0,75013,13,1.0,1.0
"22, rue Saint Maur",,75011.0,0.0,1.0,2.382034,48.860315,75011.0,75011,11,1.0,2.0
"200, rue Saint Maur",,75010.0,0.0,1.0,2.3716749999999998,48.872242,75010.0,75010,10,1.0,2.0
47 rue de Picpus,Ecole - à droite de l'entrée,75012.0,1.0,0.0,2.39699,48.843372,75012.0,75012,12,1.0,1.0
"18, avenue de la porte de Chatillon",,75014.0,0.0,1.0,2.317013,48.823693,75014.0,75014,14,1.0,2.0
"315, rue de Charenton",,75012.0,0.0,1.0,2.395135,48.833639,75012.0,75012,12,1.0,2.0
"12, rue du Docteur Laurent",,75013.0,0.0,1.0,2.355973,48.824915,75013.0,75013,13,1.0,2.0
"3, avenue Boudon / angle rue du Père Brottier",,75016.0,0.0,1.0,2.270562,48.850202,75016.0,75016,16,1.0,2.0
"13, rue de Tanger",,75019.0,0.0,1.0,2.367735,48.885177,75019.0,75019,19,1.0,2.0
"48, rue Vaneau",,75007.0,0.0,1.0,2.31916,48.851211,75007.0,75007,7,1.0,2.0
83 avenue du Général Michel Bizot,Ecole - à droite de l'entrée,75012.0,1.0,0.0,2.403541,48.837242,75012.0,75012,12,1.0,1.0
51 rue François Truffaut,Centre d'Animation CLAJE Bercy - à droite de l'entrée,75012.0,1.0,0.0,2.387186,48.834272,75012.0,75012,12,1.0,1.0
"229, rue de Courcelles",,75017.0,0.0,1.0,2.292691,48.889534,75017.0,75017,17,1.0,2.0
6 rue de Metz,,75010.0,0.0,1.0,2.35392,48.870887,75010.0,75010,10,1.0,2.0
"26, boulevard Carnot",,75012.0,0.0,1.0,2.412916,48.843494,75012.0,75012,12,1.0,2.0
30 Rue de la Breche aux loups,,75012.0,0.0,1.0,2.394145,48.837481,75012.0,75012,12,1.0,2.0
"47, rue de Saussure",,75017.0,0.0,1.0,2.314919,48.885256,75017.0,75017,17,1.0,2.0
"31, rue Godeffroy Cavaignac",,75011.0,0.0,1.0,2.380504,48.856139,75011.0,75011,11,1.0,2.0
112 Boulevards des Maréchaux,Angle Marechaux / rue de l Abbé Rousselot,75017.0,0.0,1.0,2.309226,48.883796,75017.0,75017,17,1.0,2.0
"81, boulevard Massena",,75013.0,0.0,1.0,2.368247,48.820839,75013.0,75013,13,1.0,2.0
"15-17, rue Rampal",,75019.0,0.0,1.0,2.379553,48.874325,75019.0,75019,19,1.0,2.0
"49, boulevard Menilmontant",,75011.0,0.0,1.0,2.3865309999999997,48.862694,75011.0,75011,11,1.0,2.0
95 rue du temple,,75003.0,1.0,0.0,2.356976,48.862048,75003.0,75003,3,1.0,1.0
"6, avenue Maurice Ravel",,75012.0,0.0,1.0,2.411745,48.841801,75012.0,75012,12,1.0,2.0
"7, rue Paul Appell",,75014.0,0.0,1.0,2.326294,48.821674,75014.0,75014,14,1.0,2.0
"8, square Lamarck",,75018.0,0.0,1.0,2.335818,48.890833,75018.0,75018,18,1.0,2.0
"87, avenue Jean Jaurès",,75019.0,0.0,1.0,2.379333,48.885302,75019.0,75019,19,1.0,2.0
"26, rue Boulay","Centre sportif Bernard Lafay, angle rue de la Joncquière",75017.0,0.0,1.0,2.318374,48.894664,75017.0,75017,17,1.0,2.0
"29, rue Hermel",Bibliothèque Clignancourt,75018.0,0.0,1.0,2.344508,48.891616,75018.0,75018,18,1.0,2.0
"8, rue Sadi Lecointe",,75019.0,0.0,1.0,2.373876,48.880356,75019.0,75019,19,1.0,2.0
"21, rue Saint Louis en l'Isle",,75004.0,0.0,1.0,2.3572509999999998,48.851526,75004.0,75004,4,1.0,2.0
"2, rue Eugène Reisz",,75020.0,0.0,1.0,2.410685,48.85643,75020.0,75020,20,1.0,2.0
"40, rue Vandrezane",,75013.0,0.0,1.0,2.35322,48.827774,75013.0,75013,13,1.0,2.0
15-33 Avenue de la Porte des Poissonniers,angle rue Jean Cocteau / avenue porte de Poissonniers,75018.0,0.0,1.0,2.352423,48.899663,75018.0,75018,18,1.0,2.0
"5, rue Noyer Durand",Ecole maternelle,75019.0,0.0,1.0,2.399121,48.886727,75019.0,75019,19,1.0,2.0
"23, rue Jacquier",,75014.0,0.0,1.0,2.316987,48.829979,75014.0,75014,14,1.0,2.0
"160-162, rue Championnet",,75018.0,0.0,1.0,2.340169,48.895048,75018.0,75018,18,1.0,2.0
64 rue de Beaubourg,,75003.0,1.0,0.0,2.354553,48.863243,75003.0,75003,3,1.0,1.0
"40, rue des Meuniers",,75012.0,0.0,1.0,2.396294,48.834878,75012.0,75012,12,1.0,2.0
"18, rue Jean Zay",,75014.0,0.0,1.0,2.320578,48.837607,75014.0,75014,14,1.0,2.0
"130, boulevard de Clichy",Panneau A : face au 130,75009.0,0.0,1.0,2.334409,48.882984,75009.0,75009,9,1.0,2.0
"3, passage Bullourde",,75011.0,0.0,1.0,2.376653,48.854709,75011.0,75011,11,1.0,2.0
"103, rue de la Croix Nivert",,75015.0,0.0,1.0,2.294888,48.842595,75015.0,75015,15,1.0,2.0
"11, rue Jean Rey",angle avenue de Suffren / rue Jean Rey,75015.0,0.0,1.0,2.291447,48.855395,75015.0,75015,15,1.0,2.0
"4, place du Cardinal Lavigerie",,75012.0,0.0,1.0,,,75012.0,75012,12,1.0,2.0
"82, rue Pernetty",,75014.0,0.0,1.0,2.315742,48.835399,75014.0,75014,14,1.0,2.0
9 rue Polonceau,angle rue Polonceau / rue Boris Vian,75018.0,0.0,1.0,2.353862,48.885396,75018.0,75018,18,1.0,2.0
53 allée Darius Milhaud,Ecole maternelle,75019.0,0.0,1.0,2.390867,48.88457,75019.0,75019,19,1.0,2.0
"293, rue des Pyrénées",,75020.0,0.0,1.0,2.394918,48.869368,75020.0,75020,20,1.0,2.0
"18, rue Faidherbe",,75011.0,0.0,1.0,2.383955,48.851602,75011.0,75011,11,1.0,2.0
"18, avenue de la prte Brancion",,75015.0,0.0,1.0,2.300413,48.826626,75015.0,75015,15,1.0,2.0
"2, rue Féssart",,75019.0,0.0,1.0,2.38915,48.876172,75019.0,75019,19,1.0,2.0
"5, rue Mouraud",Ecole élémentaire,75020.0,0.0,1.0,2.407777,48.854708,75020.0,75020,20,1.0,2.0
"25, rue de Rivoli",,75004.0,0.0,1.0,2.355152,48.856693,75004.0,75004,4,1.0,2.0
15 Rue Girardon,,75018.0,0.0,1.0,2.33782,48.888084,75018.0,75018,18,1.0,2.0
104-106 Rue Compans,Angle  rue du Général Brunet,75019.0,0.0,1.0,2.389772,48.880396,75019.0,75019,19,1.0,2.0
"24, rue de la Cour des Noues",,75020.0,1.0,0.0,2.401004,48.864378,75020.0,75020,20,1.0,1.0
"68, boulevard Poniatowski",,75012.0,0.0,1.0,2.399323,48.832161,75012.0,75012,12,1.0,2.0
"77, rue d Alésia",,75014.0,0.0,1.0,2.327953,48.82773,75014.0,75014,14,1.0,2.0
"9, rue des Alouettes",,75019.0,0.0,1.0,2.385354,48.877519,75019.0,75019,19,1.0,2.0
"7, rue Barbanègre","école élémentaire, Panneau A",75019.0,0.0,1.0,2.382858,48.892135,75019.0,75019,19,1.0,2.0
"17-19, rue Blomet",,75015.0,0.0,1.0,2.307197,48.843156,75015.0,75015,15,1.0,2.0
"42, rue de la Mare",,75020.0,1.0,0.0,2.389959,48.871094,75020.0,75020,20,1.0,1.0
"148, avenue Gambetta",,75020.0,0.0,1.0,2.406186,48.875389,75020.0,75020,20,1.0,2.0
"11, rue Valette",Creche,75005.0,1.0,0.0,2.3469160000000002,48.847557,75005.0,75005,5,1.0,1.0
"88, boulevard Bessière",,75017.0,0.0,1.0,2.319314,48.896536,75017.0,75017,17,1.0,2.0
"17, avenue Edison",,75013.0,0.0,1.0,2.3642849999999997,48.827738,75013.0,75013,13,1.0,2.0
"2, rue de la Guadeloupe",,75018.0,0.0,1.0,2.362625,48.890753,75018.0,75018,18,1.0,2.0
"36, rue Féssart",,75019.0,0.0,1.0,2.384217,48.876827,75019.0,75019,19,1.0,2.0
"5, place Paul Verlaine",,75013.0,0.0,1.0,2.352475,48.827428,75013.0,75013,13,1.0,2.0
"5, place Hebert",,75018.0,0.0,1.0,2.363213,48.893105,75018.0,75018,18,1.0,2.0
"26, rue Maryse Hilz",,75020.0,0.0,1.0,2.412878,48.852133,75020.0,75020,20,1.0,2.0
"46/48, rue du Rocher",,75008.0,0.0,1.0,2.320526,48.877866,75008.0,75008,8,1.0,2.0
"115, boulevard Charonne",,75011.0,0.0,1.0,2.393939,48.856591,75011.0,75011,11,1.0,2.0
"15, rue Guersant",,75017.0,0.0,1.0,2.290199,48.880565,75017.0,75017,17,1.0,2.0
"16, rue de l Atlas",,75019.0,0.0,1.0,2.376595,48.875505,75019.0,75019,19,1.0,2.0
"18, rue Maryse Hilsz",,75020.0,0.0,1.0,2.412835,48.850531,75020.0,75020,20,1.0,2.0
"19, rue de l'arbre sec",,75001.0,0.0,1.0,2.342026,48.859896,75001.0,75001,1,1.0,2.0
"4, rue Cler",,75007.0,0.0,1.0,2.305271,48.85878,75007.0,75007,7,1.0,2.0
"22, boulevard Poissonnière",Panneau A,75009.0,0.0,1.0,2.345109,48.871326,75009.0,75009,9,1.0,2.0
"142, rue des Poissonniers",,75018.0,0.0,1.0,2.352861,48.896602,75018.0,75018,18,1.0,2.0
"112, rue de Rennes",centre André Malraux,75006.0,1.0,0.0,2.327529,48.847869,75006.0,75006,6,1.0,1.0
"28, rue du Général Foy",Panneau A,75008.0,0.0,1.0,2.317688,48.878822,75008.0,75008,8,1.0,2.0
"45-59, rue de Romainville",Ecole maternelle Romainville,75019.0,0.0,1.0,2.403219,48.877377,75019.0,75019,19,1.0,2.0
square des Amandiers,passage Duris,75020.0,0.0,1.0,2.389248,48.86577,75020.0,75020,20,1.0,2.0
"30/40, rue Emeriau",,75015.0,0.0,1.0,2.286149,48.849731,75015.0,75015,15,1.0,2.0
"4-8, rue Brunetiere",,75017.0,0.0,1.0,2.30087,48.890317,75017.0,75017,17,1.0,2.0
"6, rue pommard",,75012.0,0.0,1.0,2.384587,48.835968,75012.0,75012,12,1.0,2.0
"5bis, rue Eugène Oudine",,75013.0,0.0,1.0,2.375676,48.825781,75013.0,75013,13,1.0,2.0
